Date,TXN_50_sma,TXN_100_sma,TXN_200_sma,AMAT_50_sma,AMAT_100_sma,AMAT_200_sma,COUR_50_sma,COUR_100_sma,COUR_200_sma,GNRC_50_sma,GNRC_100_sma,GNRC_200_sma,IDCC_50_sma,IDCC_100_sma,IDCC_200_sma,LLY_50_sma,LLY_100_sma,LLY_200_sma,NICE_50_sma,NICE_100_sma,NICE_200_sma,NOK_50_sma,NOK_100_sma,NOK_200_sma,WFC_50_sma,WFC_100_sma,WFC_200_sma,REGN_50_sma,REGN_100_sma,REGN_200_sma,AMD_50_sma,AMD_100_sma,AMD_200_sma,GRAL_50_sma,GRAL_100_sma,GRAL_200_sma,KLAC_50_sma,KLAC_100_sma,KLAC_200_sma
2025-04-04 00:00:00-04:00,182.42101623535157,187.49320236206054,191.99083992004395,161.93296310424805,167.95151191711426,185.04651020050048,7.6663999843597415,7.894400000572205,7.778749992847443,137.1217999267578,154.11139984130858,153.65275009155275,205.78582641601562,196.92477478027342,166.00007213592528,844.9418627929688,811.0642309570312,849.9270660400391,157.5975991821289,167.4700993347168,169.61804954528807,4.956060047149658,4.652654418945312,4.361776235103608,74.40992553710937,73.31925636291504,65.29528781890869,675.4305187988281,705.7451184082031,883.0600158691407,107.07579986572266,118.62720001220703,136.3357004547119,33.714500160217284,26.11560007095337,20.497900009155273,714.1899389648438,686.8474755859374,724.5745852661133
2025-04-07 00:00:00-04:00,181.82295501708984,186.85194381713868,191.8010418701172,160.8665788269043,167.3702725982666,184.48132472991944,7.617399988174438,7.881999998092652,7.777549991607666,136.18620010375977,153.32439979553223,153.51160007476807,206.16124389648436,197.0550685119629,166.3945790863037,843.7377563476563,810.0163110351563,849.1113122558594,157.30199920654297,167.0411993408203,169.52029960632325,4.960028867721558,4.6542451238632205,4.367132836580277,74.11613456726074,73.2444079208374,65.31612188339233,673.3906799316406,703.2031066894531,880.7384640502929,106.29179992675782,117.9841000366211,135.9807504272461,33.62180015563965,26.210550079345705,20.537575006484985,711.3266296386719,686.0559490966797,723.3136590576172
2025-04-08 00:00:00-04:00,181.03672088623046,186.1749655151367,191.5885845184326,159.9649659729004,166.78468467712403,183.93557750701905,7.546999998092652,7.8690999984741214,7.774699993133545,135.11860000610352,152.39249977111817,153.33325008392333,206.43079467773438,197.09316467285157,166.77174076080323,842.1302600097656,808.984487915039,848.3352471923828,156.73519927978515,166.54289932250975,169.4082996368408,4.9636000061035155,4.655440135002136,4.372437709569931,73.80828155517578,73.14372505187988,65.33694786071777,670.8540014648438,700.5289538574219,878.3108520507812,105.55579986572266,117.29269996643066,135.56290042877197,33.52980014801025,26.27145007133484,20.542925004959105,709.2991845703125,685.4256622314454,722.1942901611328
2025-04-09 00:00:00-04:00,180.84347930908203,185.7613137817383,191.47912841796875,159.51179885864258,166.4255623626709,183.516071434021,7.495199985504151,7.865499997138977,7.77654999256134,134.42779998779298,151.63579971313476,153.22150009155274,206.95797882080078,197.2838343811035,167.22612079620362,841.1344018554687,808.3618688964843,847.7067294311523,156.45959930419923,166.14839935302734,169.35214965820313,4.973507633209229,4.660000247955322,4.37903294801712,73.58615234375,73.08491439819336,65.38310695648194,668.6826245117187,698.1002783203126,875.9390139770508,105.20919982910156,116.82479988098144,135.24095043182373,33.48700012207031,26.36955006599426,20.581325006484985,709.33857421875,685.8432904052735,721.6572744750977
2025-04-10 00:00:00-04:00,180.40032592773437,185.28924224853515,191.31358703613282,158.78113265991212,165.9897811126709,183.06686771392822,7.4357999897003175,7.858299999237061,7.776349992752075,133.6336001586914,150.80949981689454,153.07150009155274,207.41749114990233,197.47534774780274,167.66689277648925,839.5020153808593,807.4820391845703,846.8836087036133,156.12019927978517,165.64699935913086,169.28584968566895,4.9816289806365965,4.663864064216614,4.384840925931931,73.29027587890624,72.99239707946778,65.4088106918335,665.8867956542969,695.5349908447265,873.3621481323243,104.63619979858399,116.31879981994629,134.88320041656493,33.408600120544435,26.437800073623656,20.60190001487732,708.2491357421875,685.9973394775391,720.9998776245117
2025-04-11 00:00:00-04:00,179.68026916503905,184.72517639160156,191.10070617675783,158.05594680786132,165.5889492034912,182.62912631988524,7.402399988174438,7.85539999961853,7.777899992465973,132.79360015869142,150.0485998535156,152.9418000793457,207.7724935913086,197.69407485961915,168.10525634765625,837.7176013183594,806.9713903808594,846.0458636474609,155.8723992919922,165.3511993408203,169.23789970397948,4.98740671157837,4.668819875717163,4.391342539787292,72.97355796813964,72.89361545562744,65.44036836624146,663.3301049804687,693.2650866699219,870.7877758789062,104.12699981689452,115.86439987182617,134.54895042419435,33.243600120544436,26.512300071716307,20.63320001602173,706.8417883300781,686.2811968994141,720.2904278564453
2025-04-14 00:00:00-04:00,179.01335876464844,184.2426564025879,190.9112370300293,157.3498435974121,165.35395149230956,182.1997424697876,7.38519998550415,7.8546000003814695,7.779649991989135,132.07560012817382,149.3646997833252,152.83565006256103,208.15958404541016,197.9010578918457,168.53990440368653,836.6131726074219,807.0655352783203,845.3342300415039,155.60199920654296,165.1511993408203,169.18814964294432,4.995549325942993,4.674269142150879,4.398233958482742,72.66897148132324,72.78546100616455,65.47578762054444,661.3119604492188,691.420025024414,868.3077999877929,103.69799987792969,115.46039993286132,134.23375045776368,33.13500011444092,26.612800073623657,20.673800020217897,705.5128637695312,686.865698852539,719.6032125854492
2025-04-15 00:00:00-04:00,178.42319366455078,183.70247329711913,190.721156539917,156.69292922973634,165.10976585388184,181.77316234588622,7.3683999824523925,7.855599999427795,7.78009999036789,131.44460006713868,148.6755997467041,152.72115009307862,208.58981231689452,198.10760864257813,168.98124225616456,835.5781811523437,807.3772076416016,844.5980813598633,155.44459930419922,164.96229934692383,169.11939964294433,5.006469135284424,4.6813038635253905,4.405627388954162,72.4060913848877,72.6941021347046,65.51636571884156,659.1534655761719,689.3919006347656,865.8534191894531,103.31839996337891,115.02400001525879,133.9128504562378,33.07690010070801,26.73215006828308,20.727675018310546,704.2692224121093,687.4378009033203,718.9393447875976
2025-04-16 00:00:00-04:00,177.74874786376952,183.1765202331543,190.50277870178223,155.89600234985352,164.80728004455565,181.29324710845947,7.349999980926514,7.857399997711181,7.779399991035461,130.80640014648438,147.98269973754884,152.61330009460448,208.85000122070312,198.25853775024413,169.39026107788087,833.7868786621094,807.4413317871093,843.7689364624024,155.06939910888673,164.7423992919922,169.0129496002197,5.013603687286377,4.690795249938965,4.412481281757355,72.10574752807617,72.60370559692383,65.54454030990601,656.2202905273438,687.4511242675782,863.3551043701171,102.69419998168945,114.51300003051757,133.5432504272461,33.0413000869751,26.84925006866455,20.783325018882753,702.1654626464843,687.7163067626954,718.0580297851562
2025-04-17 00:00:00-04:00,177.09135650634767,182.69765411376954,190.2934307861328,155.04253341674806,164.48580299377443,180.80265872955323,7.342599983215332,7.8608999967575075,7.780599989891052,130.1968002319336,147.2979997253418,152.50610008239747,208.9968618774414,198.33843307495118,169.76211330413818,833.7714904785156,808.3179974365235,843.4193731689453,154.60139923095704,164.53019927978517,168.91869956970214,5.0197473239898684,4.6995996522903445,4.4189508295059206,71.8084440612793,72.51908462524415,65.57048580169678,653.1719897460938,685.6614086914062,860.8962200927734,102.20399993896484,114.01199996948242,133.19230041503906,32.89350009918213,26.968350067138672,20.843525018692016,699.7111889648437,687.9057525634765,717.1217590332031
2025-04-21 00:00:00-04:00,176.34432983398438,182.19062881469728,190.05149688720704,154.108790435791,164.08907005310058,180.28550868988037,7.3313999843597415,7.862499995231628,7.780549988746643,129.47420013427734,146.52859970092774,152.35250007629395,208.44176177978517,198.3480909729004,170.09404071807862,832.7565197753906,809.0104803466797,842.9983734130859,153.99999938964845,164.2550993347168,168.78999961853026,5.025296411514282,4.709188795089721,4.425222194194793,71.47010047912597,72.41513118743896,65.5910950088501,649.9836340332031,683.843549194336,858.4906271362305,101.71199981689453,113.49269989013672,132.79855041503907,32.762100067138675,27.068750076293945,20.900375018119814,696.9318200683593,687.7966857910156,716.0614239501953
